Type:Windows.ApplicationModel:DesignMode
Property:Windows.Storage.BulkAccess:FileInformation:DateCreated:DateTimeOffset:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:DeleteAsync:IAsyncAction:()
Method:Windows.Storage.BulkAccess:FileInformation:DeleteAsync:IAsyncAction:(FileInformation option)
Property:Windows.Storage.BulkAccess:FileInformation:DisplayName:String:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:DisplayType:String:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:DocumentProperties:DocumentProperties:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:FileType:String:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:FolderRelativeId:String:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:GetBasicPropertiesAsync:IAsyncOperation<BasicProperties>:()
Method:Windows.Storage.BulkAccess:FileInformation:GetParentAsync:IAsyncOperation<StorageFolder>:()
Method:Windows.Storage.BulkAccess:FileInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FileInformation mode)
Method:Windows.Storage.BulkAccess:FileInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FileInformation mode|FileInformation requestedSize)
Method:Windows.Storage.BulkAccess:FileInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FileInformation mode|FileInformation requestedSize|FileInformation options)
Property:Windows.Storage.BulkAccess:FileInformation:ImageProperties:ImageProperties:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:IsAvailable:Boolean:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:IsEqual:Boolean:(FileInformation item)
Method:Windows.Storage.BulkAccess:FileInformation:IsOfType:Boolean:(FileInformation type)
Method:Windows.Storage.BulkAccess:FileInformation:MoveAndReplaceAsync:IAsyncAction:(FileInformation fileToReplace)
Method:Windows.Storage.BulkAccess:FileInformation:MoveAsync:IAsyncAction:(FileInformation destinationFolder)
Method:Windows.Storage.BulkAccess:FileInformation:MoveAsync:IAsyncAction:(FileInformation destinationFolder|FileInformation desiredNewName)
Method:Windows.Storage.BulkAccess:FileInformation:MoveAsync:IAsyncAction:(FileInformation destinationFolder|FileInformation desiredNewName|FileInformation option)
Property:Windows.Storage.BulkAccess:FileInformation:MusicProperties:MusicProperties:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:Name:String:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:OpenAsync:IAsyncOperation<IRandomAccessStream>:(FileInformation accessMode)
Method:Windows.Storage.BulkAccess:FileInformation:OpenReadAsync:IAsyncOperation<IRandomAccessStreamWithContentType>:()
Method:Windows.Storage.BulkAccess:FileInformation:OpenSequentialReadAsync:IAsyncOperation<IInputStream>:()
Method:Windows.Storage.BulkAccess:FileInformation:OpenTransactedWriteAsync:IAsyncOperation<StorageStreamTransaction>:()
Property:Windows.Storage.BulkAccess:FileInformation:Path:String:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:Properties:StorageItemContentProperties:{get;}
Event:Windows.Storage.BulkAccess:FileInformation:PropertiesUpdated:TypedEventHandler<IStorageItemInformation,Object>
Property:Windows.Storage.BulkAccess:FileInformation:Provider:StorageProvider:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:RenameAsync:IAsyncAction:(FileInformation desiredName)
Method:Windows.Storage.BulkAccess:FileInformation:RenameAsync:IAsyncAction:(FileInformation desiredName|FileInformation option)
Property:Windows.Storage.BulkAccess:FileInformation:Thumbnail:StorageItemThumbnail:{get;}
Event:Windows.Storage.BulkAccess:FileInformation:ThumbnailUpdated:TypedEventHandler<IStorageItemInformation,Object>
Property:Windows.Storage.BulkAccess:FileInformation:VideoProperties:VideoProperties:{get;}
Type:Windows.Storage.BulkAccess:FileInformationFactory
Constructor:Windows.Storage.BulkAccess:FileInformationFactory:.ctor:FileInformationFactory:(FileInformationFactory queryResult|FileInformationFactory mode)
Constructor:Windows.Storage.BulkAccess:FileInformationFactory:.ctor:FileInformationFactory:(FileInformationFactory queryResult|FileInformationFactory mode|FileInformationFactory requestedThumbnailSize)
Constructor:Windows.Storage.BulkAccess:FileInformationFactory:.ctor:FileInformationFactory:(FileInformationFactory queryResult|FileInformationFactory mode|FileInformationFactory requestedThumbnailSize|FileInformationFactory thumbnailOptions)
Constructor:Windows.Storage.BulkAccess:FileInformationFactory:.ctor:FileInformationFactory:(FileInformationFactory queryResult|FileInformationFactory mode|FileInformationFactory requestedThumbnailSize|FileInformationFactory thumbnailOptions|FileInformationFactory delayLoad)
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetFilesAsync:IAsyncOperation<IReadOnlyList<FileInformation>>:(FileInformationFactory startIndex|FileInformationFactory maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetFilesAsync:IAsyncOperation<IReadOnlyList<FileInformation>>:()
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetFoldersAsync:IAsyncOperation<IReadOnlyList<FolderInformation>>:(FileInformationFactory startIndex|FileInformationFactory maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetFoldersAsync:IAsyncOperation<IReadOnlyList<FolderInformation>>:()
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItemInformation>>:(FileInformationFactory startIndex|FileInformationFactory maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItemInformation>>:()
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetVirtualizedFilesVector:Object:()
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetVirtualizedFoldersVector:Object:()
Method:Windows.Storage.BulkAccess:FileInformationFactory:GetVirtualizedItemsVector:Object:()
Type:Windows.Storage.BulkAccess:FolderInformation
Method:Windows.Storage.BulkAccess:FolderInformation:AreQueryOptionsSupported:Boolean:(FolderInformation queryOptions)
Property:Windows.Storage.BulkAccess:FolderInformation:Attributes:FileAttributes:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:BasicProperties:BasicProperties:{get;}
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFileAsync:IAsyncOperation<StorageFile>:(FolderInformation desiredName)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFileAsync:IAsyncOperation<StorageFile>:(FolderInformation desiredName|FolderInformation options)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFileQuery:StorageFileQueryResult:()
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFileQuery:StorageFileQueryResult:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFileQueryWithOptions:StorageFileQueryResult:(FolderInformation queryOptions)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFolderAsync:IAsyncOperation<StorageFolder>:(FolderInformation desiredName)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFolderAsync:IAsyncOperation<StorageFolder>:(FolderInformation desiredName|FolderInformation options)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFolderQuery:StorageFolderQueryResult:()
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFolderQuery:StorageFolderQueryResult:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateFolderQueryWithOptions:StorageFolderQueryResult:(FolderInformation queryOptions)
Method:Windows.Storage.BulkAccess:FolderInformation:CreateItemQuery:StorageItemQueryResult:()
Method:Windows.Storage.BulkAccess:FolderInformation:CreateItemQueryWithOptions:StorageItemQueryResult:(FolderInformation queryOptions)
Property:Windows.Storage.BulkAccess:FolderInformation:DateCreated:DateTimeOffset:{get;}
Method:Windows.Storage.BulkAccess:FolderInformation:DeleteAsync:IAsyncAction:()
Method:Windows.Storage.BulkAccess:FolderInformation:DeleteAsync:IAsyncAction:(FolderInformation option)
Property:Windows.Storage.BulkAccess:FolderInformation:DisplayName:String:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:DisplayType:String:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:DocumentProperties:DocumentProperties:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:FolderRelativeId:String:{get;}
Method:Windows.Storage.BulkAccess:FolderInformation:GetBasicPropertiesAsync:IAsyncOperation<BasicProperties>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetFileAsync:IAsyncOperation<StorageFile>:(FolderInformation name)
Method:Windows.Storage.BulkAccess:FolderInformation:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:(FolderInformation query|FolderInformation startIndex|FolderInformation maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FolderInformation:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:GetFolderAsync:IAsyncOperation<StorageFolder>:(FolderInformation name)
Method:Windows.Storage.BulkAccess:FolderInformation:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:(FolderInformation query|FolderInformation startIndex|FolderInformation maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FolderInformation:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:GetIndexedStateAsync:IAsyncOperation<IndexedState>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetItemAsync:IAsyncOperation<IStorageItem>:(FolderInformation name)
Method:Windows.Storage.BulkAccess:FolderInformation:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItem>>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItem>>:(FolderInformation startIndex|FolderInformation maxItemsToRetrieve)
Method:Windows.Storage.BulkAccess:FolderInformation:GetParentAsync:IAsyncOperation<StorageFolder>:()
Method:Windows.Storage.BulkAccess:FolderInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FolderInformation mode)
Method:Windows.Storage.BulkAccess:FolderInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FolderInformation mode|FolderInformation requestedSize)
Method:Windows.Storage.BulkAccess:FolderInformation:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(FolderInformation mode|FolderInformation requestedSize|FolderInformation options)
Property:Windows.Storage.BulkAccess:FolderInformation:ImageProperties:ImageProperties:{get;}
Method:Windows.Storage.BulkAccess:FolderInformation:IsCommonFileQuerySupported:Boolean:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:IsCommonFolderQuerySupported:Boolean:(FolderInformation query)
Method:Windows.Storage.BulkAccess:FolderInformation:IsEqual:Boolean:(FolderInformation item)
Method:Windows.Storage.BulkAccess:FolderInformation:IsOfType:Boolean:(FolderInformation type)
Property:Windows.Storage.BulkAccess:FolderInformation:MusicProperties:MusicProperties:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:Name:String:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:Path:String:{get;}
Property:Windows.Storage.BulkAccess:FolderInformation:Properties:StorageItemContentProperties:{get;}
Event:Windows.Storage.BulkAccess:FolderInformation:PropertiesUpdated:TypedEventHandler<IStorageItemInformation,Object>
Property:Windows.Storage.BulkAccess:FolderInformation:Provider:StorageProvider:{get;}
Method:Windows.Storage.BulkAccess:FolderInformation:RenameAsync:IAsyncAction:(FolderInformation desiredName)
Method:Windows.Storage.BulkAccess:FolderInformation:RenameAsync:IAsyncAction:(FolderInformation desiredName|FolderInformation option)
Property:Windows.Storage.BulkAccess:FolderInformation:Thumbnail:StorageItemThumbnail:{get;}
Event:Windows.Storage.BulkAccess:FolderInformation:ThumbnailUpdated:TypedEventHandler<IStorageItemInformation,Object>
Method:Windows.Storage.BulkAccess:FolderInformation:TryGetItemAsync:IAsyncOperation<IStorageItem>:(FolderInformation name)
Property:Windows.Storage.BulkAccess:FolderInformation:VideoProperties:VideoProperties:{get;}
Type:Windows.Storage.BulkAccess:IStorageItemInformation
Property:Windows.Storage.BulkAccess:IStorageItemInformation:BasicProperties:BasicProperties:{get;}
Property:Windows.Storage.BulkAccess:IStorageItemInformation:DocumentProperties:DocumentProperties:{get;}
Property:Windows.Storage.BulkAccess:IStorageItemInformation:ImageProperties:ImageProperties:{get;}
Property:Windows.Storage.BulkAccess:IStorageItemInformation:MusicProperties:MusicProperties:{get;}
Event:Windows.Storage.BulkAccess:IStorageItemInformation:PropertiesUpdated:TypedEventHandler<IStorageItemInformation,Object>
Property:Windows.Storage.BulkAccess:IStorageItemInformation:Thumbnail:StorageItemThumbnail:{get;}
Event:Windows.Storage.BulkAccess:IStorageItemInformation:ThumbnailUpdated:TypedEventHandler<IStorageItemInformation,Object>
Property:Windows.Storage.BulkAccess:IStorageItemInformation:VideoProperties:VideoProperties:{get;}
Type:Windows.Storage.Compression:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:InvalidAlgorithm:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:Lzms:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:Mszip:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:NullAlgorithm:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:Xpress:CompressAlgorithm
Field:Windows.Storage.Compression:CompressAlgorithm:XpressHuff:CompressAlgorithm
Type:Windows.Storage.Compression:Compressor
Constructor:Windows.Storage.Compression:Compressor:.ctor:Compressor:(Compressor underlyingStream)
Constructor:Windows.Storage.Compression:Compressor:.ctor:Compressor:(Compressor underlyingStream|Compressor algorithm|Compressor blockSize)
Method:Windows.Storage.Compression:Compressor:DetachStream:IOutputStream:()
Method:Windows.Storage.Compression:Compressor:Dispose:Void:()
Method:Windows.Storage.Compression:Compressor:FinishAsync:IAsyncOperation<Boolean>:()
Method:Windows.Storage.Compression:Compressor:FlushAsync:IAsyncOperation<Boolean>:()
Method:Windows.Storage.Compression:Compressor:WriteAsync:IAsyncOperationWithProgress<UInt32,UInt32>:(Compressor buffer)
Type:Windows.Storage.Compression:Decompressor
Constructor:Windows.Storage.Compression:Decompressor:.ctor:Decompressor:(Decompressor underlyingStream)
Method:Windows.Storage.Compression:Decompressor:DetachStream:IInputStream:()
Method:Windows.Storage.Compression:Decompressor:Dispose:Void:()
Method:Windows.Storage.Compression:Decompressor:ReadAsync:IAsyncOperationWithProgress<IBuffer,UInt32>:(Decompressor buffer|Decompressor count|Decompressor options)
Type:Windows.Storage.FileProperties:BasicProperties
Property:Windows.Storage.FileProperties:BasicProperties:DateModified:DateTimeOffset:{get;}
Property:Windows.Storage.FileProperties:BasicProperties:ItemDate:DateTimeOffset:{get;}
Method:Windows.Storage.FileProperties:BasicProperties:RetrievePropertiesAsync:IAsyncOperation<IDictionary<String,Object>>:(BasicProperties propertiesToRetrieve)
Method:Windows.Storage.FileProperties:BasicProperties:SavePropertiesAsync:IAsyncAction:(BasicProperties propertiesToSave)
Method:Windows.Storage.FileProperties:BasicProperties:SavePropertiesAsync:IAsyncAction:()
Property:Windows.Storage.FileProperties:BasicProperties:Size:UInt64:{get;}
Type:Windows.Storage.FileProperties:DocumentProperties
Property:Windows.Storage.FileProperties:DocumentProperties:Author:IList<String>:{get;}
Property:Windows.Storage.FileProperties:DocumentProperties:Comment:String:{get;set;}
Property:Windows.Storage.FileProperties:DocumentProperties:Keywords:IList<String>:{get;}
Method:Windows.Storage.FileProperties:DocumentProperties:RetrievePropertiesAsync:IAsyncOperation<IDictionary<String,Object>>:(DocumentProperties propertiesToRetrieve)
Method:Windows.Storage.FileProperties:DocumentProperties:SavePropertiesAsync:IAsyncAction:(DocumentProperties propertiesToSave)
Method:Windows.Storage.FileProperties:DocumentProperties:SavePropertiesAsync:IAsyncAction:()
Property:Windows.Storage.FileProperties:DocumentProperties:Title:String:{get;set;}
Type:Windows.Storage.FileProperties:ImageProperties
Property:Windows.Storage.FileProperties:ImageProperties:CameraManufacturer:String:{get;set;}
Property:Windows.Storage.FileProperties:ImageProperties:CameraModel:String:{get;set;}
Property:Windows.Storage.FileProperties:ImageProperties:DateTaken:DateTimeOffset:{get;set;}
Property:Windows.Storage.FileProperties:ImageProperties:Height:UInt32:{get;}
Property:Windows.Storage.FileProperties:ImageProperties:Keywords:IList<String>:{get;}
Property:Windows.Storage.FileProperties:ImageProperties:Latitude:Nullable<Double>:{get;}
Property:Windows.Storage.FileProperties:ImageProperties:Longitude:Nullable<Double>:{get;}
Property:Windows.Storage.FileProperties:ImageProperties:Orientation:PhotoOrientation:{get;}
